domain,space,wind,Rm,level,cells,h,Rm_h,dof,k,re,im,status
square,N1curl,grad,4.0,2,1024,0.1963495408493623,0.7853981633974492,2113.0,5,19.996424289737266,0.0,ok
square,N1curl,grad,4.0,2,1024,0.1963495408493623,0.7853981633974492,2113.0,6,19.998126448416897,0.0,ok
square,N1curl,grad,4.0,2,1024,0.1963495408493623,0.7853981633974492,2113.0,7,20.055729644514088,0.0,ok
square,N1curl,grad,4.0,3,4096,0.09817477042468159,0.39269908169872636,8321.0,0,3.999997762984764,0.0,ok
square,N1curl,grad,4.0,3,4096,0.09817477042468159,0.39269908169872636,8321.0,1,7.9998790314550705,0.0,ok
square,N1curl,grad,4.0,3,4096,0.09817477042468159,0.39269908169872636,8321.0,2,11.99980580614436,0.0,ok
square,N1curl,grad,4.0,3,4096,0.09817477042468159,0.39269908169872636,8321.0,3,12.001061818004956,0.0,ok
square,N1curl,grad,4.0,3,4096,0.09817477042468159,0.39269908169872636,8321.0,4,15.993484054161838,0.0,ok
square,N1curl,grad,4.0,3,4096,0.09817477042468159,0.39269908169872636,8321.0,5,19.999251970856417,0.0,ok
square,N1curl,grad,4.0,3,4096,0.09817477042468159,0.39269908169872636,8321.0,6,20.00011666690465,0.0,ok
square,N1curl,grad,4.0,3,4096,0.09817477042468159,0.39269908169872636,8321.0,7,20.025350122324735,0.0,ok
square,N1curl,beltrami,0.01,0,64,0.7853981633974483,0.007853981633974483,145.0,0,1.0041792653866821,0.0,ok
square,N1curl,beltrami,0.01,0,64,0.7853981633974483,0.007853981633974483,145.0,1,1.004179265386684,0.0,ok
square,N1curl,beltrami,0.01,0,64,0.7853981633974483,0.007853981633974483,145.0,2,1.9654971143416837,0.0,ok
square,N1curl,beltrami,0.01,0,64,0.7853981633974483,0.007853981633974483,145.0,3,4.060236805389989,-0.018285599916377217,ok
square,N1curl,beltrami,0.01,0,64,0.7853981633974483,0.007853981633974483,145.0,4,4.060236805389989,0.018285599916377217,ok
square,N1curl,beltrami,0.01,0,64,0.7853981633974483,0.007853981633974483,145.0,5,4.89297781175627,0.0,ok
square,N1curl,beltrami,0.01,0,64,0.7853981633974483,0.007853981633974483,145.0,6,4.89297781175629,0.0,ok
square,N1curl,beltrami,0.01,0,64,0.7853981633974483,0.007853981633974483,145.0,7,7.430716195308211,0.0,ok
square,N1curl,beltrami,0.01,1,256,0.39269908169872414,0.003926990816987242,545.0,0,1.0010811147224374,0.0,ok
square,N1curl,beltrami,0.01,1,256,0.39269908169872414,0.003926990816987242,545.0,1,1.0010811147224399,0.0,ok
square,N1curl,beltrami,0.01,1,256,0.39269908169872414,0.003926990816987242,545.0,2,1.991450019408521,0.0,ok
square,N1curl,beltrami,0.01,1,256,0.39269908169872414,0.003926990816987242,545.0,3,4.0167356456844745,-0.019571911573278596,ok
square,N1curl,beltrami,0.01,1,256,0.39269908169872414,0.003926990816987242,545.0,4,4.0167356456844745,0.019571911573278596,ok
square,N1curl,beltrami,0.01,1,256,0.39269908169872414,0.003926990816987242,545.0,5,4.97510085769742,0.0,ok
square,N1curl,beltrami,0.01,1,256,0.39269908169872414,0.003926990816987242,545.0,6,4.975100857697443,0.0,ok
square,N1curl,beltrami,0.01,1,256,0.39269908169872414,0.003926990816987242,545.0,7,7.8623825338180025,0.0,ok
square,N1curl,beltrami,0.01,2,1024,0.1963495408493623,0.001963495408493623,2113.0,0,1.000283997182026,0.0,ok
square,N1curl,beltrami,0.01,2,1024,0.1963495408493623,0.001963495408493623,2113.0,1,1.0002839971820336,0.0,ok
square,N1curl,beltrami,0.01,2,1024,0.1963495408493623,0.001963495408493623,2113.0,2,1.9978828975783065,0.0,ok
square,N1curl,beltrami,0.01,2,1024,0.1963495408493623,0.001963495408493623,2113.0,3,4.0042736771375145,-0.019892977802999562,ok
square,N1curl,beltrami,0.01,2,1024,0.1963495408493623,0.001963495408493623,2113.0,4,4.0042736771375145,0.019892977802999562,ok
square,N1curl,beltrami,0.01,2,1024,0.1963495408493623,0.001963495408493623,2113.0,5,4.993941976601171,0.0,ok
square,N1curl,beltrami,0.01,2,1024,0.1963495408493623,0.001963495408493623,2113.0,6,4.993941976601193,0.0,ok
